42192	EST001	10	4500.00	45000.00
42192	EST002	20	4500.00	90000.00
42366	HOR011	5	4500.00	22500.00
42366	HOR055	100	4500.00	450000.00
42493	EST002	25	4500.00	112500.00
42493	EST003	10	4500.00	45000.00
42493	EST005	20	4500.00	90000.00
42682	HOR011	50	4500.00	225000.00
42682	HOR033	75	4500.00	337500.00
42682	EST004	100	4500.00	450000.00
10113	EST001	15	4500.00	67500.00
10231	HOR022	100	4500.00	450000.00
10231	EST005	150	4500.00	675000.00
10437	EST001	5	4500.00	22500.00
10437	EST002	5	4500.00	22500.00
10437	HOR033	5	4500.00	22500.00
10770	EST002	40	4500.00	180000.00
10770	EST003	50	4500.00	225000.00
10920	HOR011	1	4500.00	4500.00
10920	HOR022	2	4500.00	9000.00
10920	HOR033	3	4500.00	13500.00
11123	EST003	10	4500.00	45000.00
11123	HOR033	10	4500.00	45000.00
